label,clean_text
0,看得我尴尬癌都犯了
0,看得我尴尬癌都了
0,看得我尴尬癌都犯了超级
1,这部电影真的很精彩我太喜欢了
1,这部电影真的很精彩我太热爱了
1,这部电影真的很真的精彩我太喜欢了
0,结局强行升华尬
0,结局强行升华尬
0,结局强行升华尬
1,是近期看过最棒的一部
1,是看过最棒的一部
1,是近期看过最棒非常的一部
0,特效简直五毛钱
0,简直五毛钱
0,特效简直五毛钱
0,打斗场面像过家家
0,打斗超级场面像过家家
0,打斗场面像有点
1,台词设计很真实有代入感
1,台词特别设计真实有代入感
1,台词设计很真实代入感
1,是一部合格的商业片
1,是一部合格的真的商业片
1,是一部合格的商业片
1,演员阵容豪华表现可圈可点
1,演员阵容豪华表现可圈可点
1,演员阵容豪华表现可圈可点
0,女主的表演像念台词
0,女主的表演像念超级台词
0,女主超级的表演像念台词
1,男主角太帅了太圈粉了
1,真的男主角太帅了太圈粉了
1,男主角太帅了太圈粉了
0,这是我今年看过最差的电影
0,这是我今年看过非常最差影片
0,这是我今年看过最差的影片
0,看了一半就想退场
0,看了一半就特别想退场
0,看了一半就想退场
1,配乐和画面都很棒非常享受
1,配乐和画面都很棒非常享受
1,配乐和画面都很棒非常享受
1,让我反思了很多太震撼了
1,让我反思了有点太震撼了
1,让我反思了很多太震撼了
1,男女主互动太甜了嗷嗷嗷
1,男女主互动太甜了嗷嗷嗷
1,男女主互动太甜了特别嗷嗷嗷
0,一星都嫌多
0,一星都嫌多真的
0,一星都嫌多
0,特效简直五毛钱
0,特效简直五毛钱超级
0,特效简直有点五毛钱
0,剧情硬伤太多
0,剧情硬伤太非常多
0,剧情硬伤太多
1,节奏明快毫无尿点
1,节奏非常明快毫无尿点
1,节奏明快毫无尿点
0,一星都嫌多
0,一星真的都
0,都嫌多
0,结局强行升华尬
0,特别结局强行升华尬
0,结局强行升华
0,槽点太多说不过来
0,槽点太多说不过来
0,槽点太多说不过来有点
1,是一部合格的商业片
1,是一部合格的商业片有点
1,是一部合格的特别商业片
0,演员演技太尴尬了
0,演员演技太尴尬了
0,演员演技太尴尬了
0,剧情毫无逻辑看得我头疼
0,故事毫无逻辑看得我头疼
0,故事毫无非常逻辑看得我头疼
1,情绪递进自然很有感染力
1,情绪递进非常自然很有感染力
1,情绪递进自然很有感染力
1,男主角太帅了太圈粉了
1,男主角太帅了太圈粉非常了
1,男主角了太圈粉了
1,值回票价五星好评
1,值回票价五星好评
1,非常值回票价五星好评
0,看得我尴尬癌都犯了
0,看得非常我尴尬癌都犯了
0,看得我尴尬癌都犯了
0,节奏拖沓看得想睡觉
0,节奏拖沓看得睡觉
0,拖沓看得想睡觉
0,这不是烂片是什么
0,这不是烂片是有点什么
0,这不是烂片是超级
0,感觉像在看ppt毫无张力
0,感觉像在看ppt毫无张力
0,感觉像在ppt毫无张力
1,节奏明快毫无尿点
1,有点节奏明快毫无尿点
1,节奏明快毫无尿点
0,浪费时间不推荐
0,浪费时间不推荐超级
0,浪费时间不推荐
0,剧情硬伤太多
0,真的情节硬伤太多
0,剧情硬伤太多
0,这是我今年看过最差的电影
0,是我今年看过最差真的的电影
0,这是我今年看过最差的电影特别
0,这电影真的烂到无语
0,这电影真的烂到无语
0,这影片真的烂到无语
1,是近期看过最棒的一部
1,是近期看过最棒的一部超级
1,是近期看过最棒的一部
1,结局很惊喜完全猜不到
1,结局超级很惊喜完全猜不到
1,结局很惊喜完全猜不到
0,全程毫无波澜
0,全程毫无波澜
0,全程毫无波澜非常
